time_years,nuclei_count,fraction_remaining,activity,ln_atoms
0.0,1000,1.0,100.0,6.907755278982137
0.1,990,0.99,135.0,6.897704943128636
0.2,973,0.973,150.0,6.880384082186005
0.3,960,0.96,150.0,6.866933284461882
0.4,943,0.943,145.0,6.849066282633458
0.5,931,0.931,110.0,6.836259277277067
0.6000000000000001,921,0.921,140.0,6.825460036255307
0.7000000000000001,903,0.903,175.0,6.805722553416985
0.8,886,0.886,145.0,6.786716950605081
0.9,874,0.874,125.0,6.773080375655535
1.0,861,0.861,129.9999999999991,6.7580945044277305
1.1,848,0.848,135.0,6.742880635791903
1.2000000000000002,834,0.834,119.99999999999909,6.726233402358747
1.3,824,0.824,105.00000000000045,6.714170529909472
1.4,813,0.813,85.00000000000045,6.70073110954781
1.5,807,0.807,80.0,6.693323668269949
1.6,797,0.797,100.0,6.680854678790215
1.7000000000000002,787,0.787,79.99999999999909,6.668228248417403
1.8,781,0.781,80.0,6.660575149839686
1.9,771,0.771,95.00000000000045,6.647688373563329
2.0,762,0.762,89.99999999999955,6.635946555686647
2.1,753,0.753,100.0,6.6240652277998935
2.2,742,0.742,105.0,6.60934924316738
2.3000000000000003,732,0.732,100.0,6.595780513961311
2.4000000000000004,722,0.722,80.00000000000091,6.582025138892826
2.5,716,0.716,69.99999999999955,6.573680166960646
2.6,708,0.708,125.0,6.56244409369372
2.7,691,0.691,130.0,6.53813982376767
2.8000000000000003,682,0.682,129.99999999999955,6.525029657843462
2.9000000000000004,665,0.665,135.00000000000045,6.499787040655854
3.0,655,0.655,89.99999999999955,6.484635235635252
3.1,647,0.647,65.0,6.472346294500901
3.2,642,0.642,100.0,6.464588303689961
3.3000000000000003,627,0.627,120.0,6.440946540632921
3.4000000000000004,618,0.618,75.00000000000045,6.42648845745769
3.5,612,0.612,54.999999999999545,6.416732282512326
3.6,607,0.607,55.0,6.408528791059498
3.7,601,0.601,75.00000000000091,6.398594934535208
3.8,592,0.592,79.99999999999955,6.3835066348840055
3.9,585,0.585,85.0,6.371611847231857
4.0,575,0.575,90.0,6.354370040797351
4.1000000000000005,567,0.567,44.999999999999545,6.340359303727752
4.2,566,0.566,35.0,6.338594078203183
4.3,560,0.56,65.0,6.327936783729195
4.4,553,0.553,65.0,6.315358001522335
4.5,547,0.547,65.0,6.304448802421981
4.6000000000000005,540,0.54,64.99999999999955,6.29156913955832
4.7,534,0.534,65.0,6.280395838960195
4.800000000000001,527,0.527,60.0,6.267200548541362
4.9,522,0.522,55.000000000000455,6.257667587882639
5.0,516,0.516,79.99999999999955,6.246106765481563
5.1000000000000005,506,0.506,80.0,6.226536669287466
5.2,500,0.5,49.999999999999545,6.214608098422191
5.300000000000001,496,0.496,50.0,6.206575926724928
5.4,490,0.49,55.0,6.194405391104672
5.5,485,0.485,54.999999999999545,6.184148890937483
5.6000000000000005,479,0.479,50.0,6.171700597410915
5.7,475,0.475,49.999999999999545,6.163314804034641
5.800000000000001,469,0.469,45.0,6.150602768446279
5.9,466,0.466,60.0,6.144185634125646
6.0,457,0.457,70.00000000000045,6.124683390894205
6.1000000000000005,452,0.452,95.00000000000045,6.113682179832232
6.2,438,0.438,70.00000000000045,6.082218910376446
6.300000000000001,438,0.438,30.000000000000455,6.082218910376446
6.4,432,0.432,70.0,6.068425588244111
6.5,424,0.424,65.0,6.049733455231958
6.6000000000000005,419,0.419,45.0,6.037870919922137
6.7,415,0.415,30.0,6.028278520230698
6.800000000000001,413,0.413,45.00000000000023,6.023447592961033
6.9,406,0.406,60.00000000000023,6.0063531596017325
7.0,401,0.401,44.99999999999977,5.993961427306569
7.1000000000000005,397,0.397,45.0,5.983936280687191
7.2,392,0.392,45.0,5.971261839790462
7.300000000000001,388,0.388,30.0,5.961005339623274
7.4,386,0.386,30.0,5.955837369464831
7.5,382,0.382,35.0,5.945420608606575
7.6,379,0.379,35.0,5.937536205082426
7.7,375,0.375,44.99999999999977,5.926926025970411
7.800000000000001,370,0.37,70.00000000000023,5.91350300563827
7.9,361,0.361,50.00000000000023,5.8888779583328805
8.0,360,0.36,35.0,5.886104031450156
8.1,354,0.354,64.99999999999932,5.869296913133774
8.200000000000001,347,0.347,49.99999999999932,5.849324779946859
8.3,344,0.344,40.00000000000023,5.840641657373398
8.4,339,0.339,45.00000000000023,5.82600010738045
8.5,335,0.335,35.0,5.814130531825066
8.6,332,0.332,30.0,5.805134968916488
8.700000000000001,329,0.329,45.0,5.796057750765372
8.8,323,0.323,50.00000000000023,5.777652323222656
8.9,319,0.319,20.0,5.765191102784844
9.0,319,0.319,15.0,5.765191102784844
9.1,316,0.316,50.00000000000023,5.755742213586912
9.2,309,0.309,45.00000000000023,5.733341276897746
9.3,307,0.307,25.0,5.726847747587197
9.4,304,0.304,45.00000000000023,5.717027701406222
9.5,298,0.298,45.00000000000023,5.697093486505405
9.6,295,0.295,35.0,5.68697535633982
9.7,291,0.291,40.0,5.673323267171493
9.8,287,0.287,34.999999999999545,5.659482215759621
9.9,284,0.284,50.0,5.648974238161206
10.0,277,0.277,60.00000000000023,5.6240175061873385
10.1,272,0.272,45.00000000000023,5.605802066295998
10.2,268,0.268,35.0,5.5909869805108565
10.3,265,0.265,55.00000000000023,5.579729825986222
10.4,257,0.257,60.00000000000023,5.54907608489522
10.5,253,0.253,40.00000000000023,5.53338948872752
10.6,249,0.249,40.00000000000023,5.517452896464707
10.7,245,0.245,49.999999999999545,5.501258210544727
10.8,239,0.239,49.99999999999977,5.476463551931511
10.9,235,0.235,35.00000000000023,5.459585514144159
11.0,232,0.232,25.0,5.44673737166631
11.1,230,0.23,15.0,5.438079308923196
11.2,229,0.229,24.999999999999545,5.43372200355424
11.3,225,0.225,29.999999999999773,5.41610040220442
11.4,223,0.223,30.000000000000227,5.407171771460119
11.5,219,0.219,30.0,5.389071729816501
11.6,217,0.217,20.0,5.37989735354046
11.7,215,0.215,19.999999999999773,5.3706380281276624
11.8,213,0.213,9.999999999999773,5.3612921657094255
11.9,213,0.213,20.000000000000227,5.3612921657094255
12.0,209,0.209,30.000000000000227,5.342334251964811
12.1,207,0.207,30.0,5.332718793265369
12.2,203,0.203,39.99999999999977,5.313205979041787
12.3,199,0.199,19.999999999999545,5.293304824724492
12.4,199,0.199,15.0,5.293304824724492
12.5,196,0.196,30.000000000000114,5.278114659230517
12.6,193,0.193,35.000000000000114,5.262690188904886
12.7,189,0.189,25.000000000000227,5.241747015059643
12.8,188,0.188,15.0,5.236441962829949
12.9,186,0.186,20.0,5.225746673713202
13.0,184,0.184,15.0,5.214935757608986
13.1,183,0.183,25.000000000000114,5.209486152841421
13.2,179,0.179,34.999999999999886,5.187385805840755
13.3,176,0.176,19.99999999999966,5.170483995038151
13.4,175,0.175,25.000000000000114,5.1647859739235145
13.5,171,0.171,35.000000000000114,5.14166355650266
13.6,168,0.168,30.000000000000114,5.123963979403259
13.7,165,0.165,49.99999999999932,5.10594547390058
13.8,158,0.158,39.999999999999204,5.062595033026967
13.9,157,0.157,10.000000000000114,5.056245805348308
14.0,156,0.156,5.000000000000114,5.049856007249537
14.1,156,0.156,25.0,5.049856007249537
14.2,151,0.151,30.000000000000114,5.017279836814924
14.3,150,0.15,15.0,5.0106352940962555
14.4,148,0.148,15.0,4.997212273764115
14.5,147,0.147,10.0,4.990432586778736
14.6,146,0.146,20.000000000000114,4.983606621708336
14.7,143,0.143,25.0,4.962844630259907
14.8,141,0.141,25.0,4.948759890378168
14.9,138,0.138,30.000000000000114,4.927253685157205
15.0,135,0.135,40.00000000000023,4.90527477843843
15.1,130,0.13,40.000000000000114,4.867534450455582
15.2,127,0.127,39.99999999999966,4.844187086458591
15.3,122,0.122,39.99999999999966,4.804021044733257
15.4,119,0.119,20.000000000000114,4.77912349311153
15.5,118,0.118,10.000000000000114,4.770684624465665
15.6,117,0.117,20.0,4.762173934797756
15.7,114,0.114,20.000000000000114,4.736198448394496
15.8,113,0.113,4.999999999999886,4.727387818712341
15.9,113,0.113,20.000000000000114,4.727387818712341
16.0,109,0.109,20.00000000000034,4.6913478822291435
16.1,109,0.109,5.000000000000227,4.6913478822291435
16.2,108,0.108,9.999999999999886,4.68213122712422
16.3,107,0.107,14.999999999999773,4.672828834461906
16.400000000000002,105,0.105,14.999999999999886,4.653960350157523
16.5,104,0.104,10.0,4.6443908991413725
16.6,103,0.103,15.000000000000284,4.634728988229636
16.7,101,0.101,20.0,4.61512051684126
16.8,99,0.099,14.999999999999773,4.59511985013459
16.900000000000002,98,0.098,4.999999999999886,4.584967478670572
17.0,98,0.098,4.9999999999998295,4.584967478670572
17.1,97,0.097,4.9999999999998295,4.574710978503383
17.2,97,0.097,14.999999999999488,4.574710978503383
17.3,94,0.094,14.99999999999983,4.543294782270004
17.400000000000002,94,0.094,5.684341886080802e-14,4.543294782270004
17.5,94,0.094,-5.684341886080802e-14,4.543294782270004
17.6,94,0.094,10.000000000000455,4.543294782270004
17.7,92,0.092,20.000000000000057,4.5217885770490405
17.8,90,0.09,9.99999999999983,4.499809670330265
17.900000000000002,90,0.09,5.684341886080802e-14,4.499809670330265
18.0,90,0.09,-5.684341886080802e-14,4.499809670330265
18.1,90,0.09,5.684341886080802e-14,4.499809670330265
18.2,90,0.09,-5.684341886080802e-14,4.499809670330265
18.3,90,0.09,10.000000000000455,4.499809670330265
18.4,88,0.088,20.000000000000057,4.477336814478207
18.5,86,0.086,24.99999999999966,4.454347296253507
18.6,83,0.083,19.999999999999716,4.418840607796598
18.7,82,0.082,19.99999999999966,4.406719247264253
18.8,79,0.079,24.999999999999886,4.3694478524670215
18.9,77,0.077,15.000000000000284,4.343805421853684
19.0,76,0.076,9.999999999999886,4.330733340286331
19.1,75,0.075,4.999999999999943,4.31748811353631
19.200000000000003,75,0.075,10.000000000000398,4.31748811353631
19.3,73,0.073,10.000000000000227,4.290459441148391
19.4,73,0.073,4.9999999999998295,4.290459441148391
19.5,72,0.072,9.999999999999886,4.276666119016055
19.6,71,0.071,9.999999999999886,4.2626798770413155
19.700000000000003,70,0.07,15.000000000000227,4.248495242049359
19.8,68,0.068,15.000000000000284,4.219507705176107
19.9,67,0.067,5.0000000000001705,4.204692619390966
20.0,67,0.067,4.999999999999886,4.204692619390966
20.1,66,0.066,19.999999999999716,4.189654742026425
20.200000000000003,63,0.063,14.999999999999488,4.143134726391533
20.3,63,0.063,-0.0,4.143134726391533
20.4,63,0.063,9.999999999999716,4.143134726391533
20.5,61,0.061,19.999999999999716,4.110873864173311
20.6,59,0.059,14.999999999999773,4.07753744390572
20.700000000000003,58,0.058,4.999999999999886,4.060443010546419
20.8,58,0.058,-0.0,4.060443010546419
20.9,58,0.058,4.999999999999773,4.060443010546419
21.0,57,0.057,9.999999999999886,4.04305126783455
21.1,56,0.056,4.999999999999943,4.02535169073515
21.200000000000003,56,0.056,5.0000000000001705,4.02535169073515
21.3,55,0.055,15.000000000000341,4.007333185232471
21.4,53,0.053,15.000000000000227,3.970291913552122
21.5,52,0.052,4.999999999999943,3.9512437185814275
21.6,52,0.052,-0.0,3.9512437185814275
21.700000000000003,52,0.052,-0.0,3.9512437185814275
21.8,52,0.052,5.000000000000142,3.9512437185814275
21.9,51,0.051,10.000000000000028,3.9318256327243257
22.0,50,0.05,4.999999999999915,3.912023005428146
22.1,50,0.05,14.999999999999801,3.912023005428146
22.200000000000003,47,0.047,14.999999999999545,3.8501476017100584
22.3,47,0.047,-0.0,3.8501476017100584
22.4,47,0.047,-2.842170943040401e-14,3.8501476017100584
22.5,47,0.047,4.999999999999915,3.8501476017100584
22.6,46,0.046,4.999999999999915,3.828641396489095
22.700000000000003,46,0.046,-0.0,3.828641396489095
22.8,46,0.046,-0.0,3.828641396489095
22.9,46,0.046,4.9999999999998295,3.828641396489095
23.0,45,0.045,4.999999999999915,3.8066624897703196
23.1,45,0.045,4.999999999999943,3.8066624897703196
23.200000000000003,44,0.044,15.000000000000227,3.784189633918261
23.3,42,0.042,15.000000000000313,3.7376696182833684
23.4,41,0.041,5.000000000000199,3.713572066704308
23.5,41,0.041,-0.0,3.713572066704308
23.6,41,0.041,4.999999999999943,3.713572066704308
23.700000000000003,40,0.04,4.9999999999998295,3.6888794541139363
23.8,40,0.04,5.000000000000114,3.6888794541139363
23.9,39,0.039,10.000000000000028,3.6635616461296463
24.0,38,0.038,4.999999999999915,3.6375861597263857
24.1,38,0.038,4.999999999999915,3.6375861597263857
24.200000000000003,37,0.037,4.999999999999858,3.6109179126442243
24.3,37,0.037,-0.0,3.6109179126442243
24.4,37,0.037,4.999999999999801,3.6109179126442243
24.5,36,0.036,9.999999999999886,3.58351893845611
24.6,35,0.035,9.999999999999858,3.5553480614894135
24.700000000000003,34,0.034,4.9999999999998295,3.5263605246161616
24.8,34,0.034,-0.0,3.5263605246161616
24.9,34,0.034,4.999999999999858,3.5263605246161616
25.0,33,0.033,4.999999999999915,3.4965075614664802
25.1,33,0.033,-0.0,3.4965075614664802
25.200000000000003,33,0.033,-0.0,3.4965075614664802
25.3,33,0.033,10.000000000000227,3.4965075614664802
25.4,31,0.031,15.000000000000227,3.4339872044851463
25.5,30,0.03,4.999999999999915,3.4011973816621555
25.6,30,0.03,-0.0,3.4011973816621555
25.700000000000003,30,0.03,-0.0,3.4011973816621555
25.8,30,0.03,-0.0,3.4011973816621555
25.9,30,0.03,-0.0,3.4011973816621555
26.0,30,0.03,-0.0,3.4011973816621555
26.1,30,0.03,-0.0,3.4011973816621555
26.200000000000003,30,0.03,5.000000000000199,3.4011973816621555
26.3,29,0.029,5.000000000000085,3.367295829986474
26.4,29,0.029,4.9999999999998295,3.367295829986474
26.5,28,0.028,4.999999999999943,3.332204510175204
26.6,28,0.028,-0.0,3.332204510175204
26.700000000000003,28,0.028,-0.0,3.332204510175204
26.8,28,0.028,5.000000000000114,3.332204510175204
26.9,27,0.027,5.0000000000001705,3.295836866004329
27.0,27,0.027,9.999999999999844,3.295836866004329
27.1,25,0.025,9.999999999999844,3.2188758248682006
27.200000000000003,25,0.025,-0.0,3.2188758248682006
27.3,25,0.025,5.000000000000114,3.2188758248682006
27.4,24,0.024,10.000000000000043,3.1780538303479458
27.5,23,0.023,4.999999999999929,3.1354942159291497
27.6,23,0.023,-0.0,3.1354942159291497
27.700000000000003,23,0.023,-0.0,3.1354942159291497
27.8,23,0.023,-0.0,3.1354942159291497
27.9,23,0.023,4.999999999999844,3.1354942159291497
28.0,22,0.022,4.999999999999929,3.091042453358316
28.1,22,0.022,-0.0,3.091042453358316
28.200000000000003,22,0.022,5.000000000000185,3.091042453358316
28.3,21,0.021,5.0000000000000995,3.044522437723423
28.4,21,0.021,4.999999999999844,3.044522437723423
28.5,20,0.02,4.999999999999929,2.995732273553991
28.6,20,0.02,4.999999999999929,2.995732273553991
28.700000000000003,19,0.019,4.999999999999844,2.9444389791664403
28.8,19,0.019,-0.0,2.9444389791664403
28.9,19,0.019,-0.0,2.9444389791664403
29.0,19,0.019,-0.0,2.9444389791664403
29.1,19,0.019,-0.0,2.9444389791664403
29.200000000000003,19,0.019,-0.0,2.9444389791664403
29.3,19,0.019,5.0000000000000995,2.9444389791664403
29.4,18,0.018,5.000000000000185,2.8903717578961645
29.5,18,0.018,-0.0,2.8903717578961645
29.6,18,0.018,4.999999999999929,2.8903717578961645
29.700000000000003,17,0.017,10.000000000000043,2.833213344056216
29.8,16,0.016,5.000000000000114,2.772588722239781
29.9,16,0.016,-0.0,2.772588722239781
30.0,16,0.016,4.999999999999929,2.772588722239781
30.1,15,0.015,4.999999999999929,2.70805020110221
30.200000000000003,15,0.015,-0.0,2.70805020110221
30.3,15,0.015,-0.0,2.70805020110221
30.4,15,0.015,-0.0,2.70805020110221
30.5,15,0.015,-0.0,2.70805020110221
30.6,15,0.015,4.999999999999929,2.70805020110221
30.700000000000003,14,0.014,4.999999999999844,2.6390573296152584
30.8,14,0.014,-0.0,2.6390573296152584
30.9,14,0.014,-0.0,2.6390573296152584
31.0,14,0.014,-0.0,2.6390573296152584
31.1,14,0.014,-0.0,2.6390573296152584
31.200000000000003,14,0.014,5.000000000000185,2.6390573296152584
31.3,13,0.013,5.0000000000000995,2.5649493574615367
31.4,13,0.013,-0.0,2.5649493574615367
31.5,13,0.013,-0.0,2.5649493574615367
31.6,13,0.013,-0.0,2.5649493574615367
31.700000000000003,13,0.013,-0.0,2.5649493574615367
31.8,13,0.013,-0.0,2.5649493574615367
31.9,13,0.013,-0.0,2.5649493574615367
32.0,13,0.013,-0.0,2.5649493574615367
32.1,13,0.013,-0.0,2.5649493574615367
32.2,13,0.013,-0.0,2.5649493574615367
32.300000000000004,13,0.013,-0.0,2.5649493574615367
32.4,13,0.013,-0.0,2.5649493574615367
32.5,13,0.013,-0.0,2.5649493574615367
32.6,13,0.013,4.999999999999929,2.5649493574615367
32.7,12,0.012,4.999999999999929,2.4849066497880004
32.800000000000004,12,0.012,5.000000000000462,2.4849066497880004
32.9,11,0.011,5.000000000000462,2.3978952727983707
33.0,11,0.011,4.999999999999929,2.3978952727983707
33.1,10,0.01,4.999999999999929,2.302585092994046
33.2,10,0.01,4.999999999999929,2.302585092994046
33.300000000000004,9,0.009,15.000000000000675,2.1972245773362196
33.4,7,0.007,10.000000000000924,1.9459101490553132
33.5,7,0.007,-0.0,1.9459101490553132
33.6,7,0.007,-0.0,1.9459101490553132
33.7,7,0.007,-0.0,1.9459101490553132
33.800000000000004,7,0.007,-0.0,1.9459101490553132
33.9,7,0.007,-0.0,1.9459101490553132
34.0,7,0.007,-0.0,1.9459101490553132
34.1,7,0.007,-0.0,1.9459101490553132
34.2,7,0.007,-0.0,1.9459101490553132
34.300000000000004,7,0.007,-0.0,1.9459101490553132
34.4,7,0.007,-0.0,1.9459101490553132
34.5,7,0.007,-0.0,1.9459101490553132
34.6,7,0.007,4.999999999999929,1.9459101490553132
34.7,6,0.006,4.999999999999929,1.791759469228055
34.800000000000004,6,0.006,-0.0,1.791759469228055
34.9,6,0.006,-0.0,1.791759469228055
35.0,6,0.006,-0.0,1.791759469228055
35.1,6,0.006,4.999999999999929,1.791759469228055
35.2,5,0.005,4.999999999999929,1.6094379124341003
35.300000000000004,5,0.005,-0.0,1.6094379124341003
35.4,5,0.005,-0.0,1.6094379124341003
35.5,5,0.005,-0.0,1.6094379124341003
35.6,5,0.005,-0.0,1.6094379124341003
35.7,5,0.005,-0.0,1.6094379124341003
35.800000000000004,5,0.005,-0.0,1.6094379124341003
35.9,5,0.005,-0.0,1.6094379124341003
36.0,5,0.005,-0.0,1.6094379124341003
36.1,5,0.005,-0.0,1.6094379124341003
36.2,5,0.005,-0.0,1.6094379124341003
36.3,5,0.005,-0.0,1.6094379124341003
36.4,5,0.005,-0.0,1.6094379124341003
36.5,5,0.005,-0.0,1.6094379124341003
36.6,5,0.005,-0.0,1.6094379124341003
36.7,5,0.005,-0.0,1.6094379124341003
36.8,5,0.005,-0.0,1.6094379124341003
36.9,5,0.005,-0.0,1.6094379124341003
37.0,5,0.005,-0.0,1.6094379124341003
37.1,5,0.005,-0.0,1.6094379124341003
37.2,5,0.005,-0.0,1.6094379124341003
37.3,5,0.005,-0.0,1.6094379124341003
37.4,5,0.005,-0.0,1.6094379124341003
37.5,5,0.005,-0.0,1.6094379124341003
37.6,5,0.005,4.999999999999929,1.6094379124341003
37.7,4,0.004,4.999999999999751,1.3862943611198906
37.8,4,0.004,-0.0,1.3862943611198906
37.9,4,0.004,-0.0,1.3862943611198906
38.0,4,0.004,-0.0,1.3862943611198906
38.1,4,0.004,-0.0,1.3862943611198906
38.2,4,0.004,-0.0,1.3862943611198906
38.3,4,0.004,-0.0,1.3862943611198906
38.400000000000006,4,0.004,-0.0,1.3862943611198906
38.5,4,0.004,-0.0,1.3862943611198906
38.6,4,0.004,-0.0,1.3862943611198906
38.7,4,0.004,-0.0,1.3862943611198906
38.8,4,0.004,-0.0,1.3862943611198906
38.900000000000006,4,0.004,-0.0,1.3862943611198906
39.0,4,0.004,-0.0,1.3862943611198906
39.1,4,0.004,-0.0,1.3862943611198906
39.2,4,0.004,-0.0,1.3862943611198906
39.3,4,0.004,-0.0,1.3862943611198906
39.400000000000006,4,0.004,-0.0,1.3862943611198906
39.5,4,0.004,-0.0,1.3862943611198906
39.6,4,0.004,-0.0,1.3862943611198906
39.7,4,0.004,-0.0,1.3862943611198906
39.8,4,0.004,-0.0,1.3862943611198906
39.900000000000006,4,0.004,-0.0,1.3862943611198906
